All,Alle
None,Geen
"Allowed Scopes","Toegestane scopes"
"You need more permissions to apply some of the rule updates.","U heeft meer bevoegdheden nodig om een aantal van de regel updates uit te voeren."
"More permissions are needed to save this item.","Meer bevoegdheden zijn nodig om dit item op te slaan."
"You need more permissions to access website ""%1"".","U heeft meer bevoegdheden nodig voor toegang tot website ""%1""."
"Role Scopes","Rol scopes"
Custom,Aangepast
"Read Details","Lees details"
"Mark as Read","Markeren als gelezen"
"Are you sure?","Weet u het zeker?"
Remove,Verwijder
"Messages Inbox",Berichteninbox
"You have %1 new system messages","U heeft %1 nieuwe systeemberichten"
"You have %1 new system message","U heeft %1 nieuw systeembericht"
"Incoming Message","Inkomend bericht"
close,Sluiten
Notifications,Meldingen
"The message has been marked as Read.","Het bericht is gemarkeerd als gelezen."
"We couldn't mark the notification as Read because of an error.","Het bericht kan niet als gelezen gemarkeerd worden door een fout."
"Please select messages.","Selecteer de meldingen."
"A total of %1 record(s) have been marked as Read.","%1 bericht(en) zijn gemarkeerd als gelezen."
"Total of %1 record(s) have been removed.","%1 bericht(en) zijn verwijderd."
"We couldn't remove the messages because of an error.","Het bericht kan niet verwijderd worden door een fout."
"The message has been removed.","De notificatie is verwijderd"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","U heeft alle recente systeem-meldingen bekeken en opgelost. Herlaad de pagina om de melding op te ruimen."
"1 Hour","1 uur"
"2 Hours","2 uur"
"6 Hours","6 uur"
"12 Hours","12 uur"
"24 Hours","24 uur"
critical,kritisch
major,belangrijk
minor,gering
notice,melding
"Wrong message type","Verkeerde bericht-type"
"Wrong notification ID specified.","Verkeerde melding ID opgegeven."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} wordt niet geadviseerd in een productie omgeving om de Onveilige Basis URL mee te definiëren. Het wordt aangeraden om deze waarde in uw Magento <a href=""%1"">configuratie</a> aan te passen."
"One or more of the Cache Types are invalidated: %1. ","Één of meerdere cache types zijn geïnvalideerd: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Ga naar <a href=""%1"">Cache Beheer</a> om de cache types te verversen."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","We waren niet in staat om een of meer mediabestanden te synchroniseren. Gelieve het logboekbestand bekijken voor meer informatie."
"Synchronization of media storages has been completed.","Synchronisatie van media opslagplaatsen is voltooid."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Uw webserver is niet goed geconfigureerd. Hierdoor kan ongeoorloofde toegang tot gevoelige bestanden plaats vinden. Neem contact op met uw serviceprovider."
"System Messages:",Systeemberichten:
"Critical System Messages","Kritische Systeemberichten"
"Major System Messages","Belangrijke Systeemberichten"
"System messages",Systeemberichten
Close,Sluiten
"See All (","Alles bekijken ("
" unread)"," ongelezen)"
"Show Toolbar","Werkbalk weergeven"
"Show List","Lijst tonen"
"Use HTTPS to Get Feed","Gebruik HTTPS om de feed op te halen"
"Update Frequency",Update-frequentie
"Last Update","Laatste wijziging"
Severity,Ernst
"Date Added","Datum toegevoegd"
Message,Bericht
Actions,Acties
"Manage Shopping Cart","Beheer winkelwagen"
"Create Order","Bestelling aanmaken"
Back,Terug
"Add Products","Voeg producten toe"
"Update Items and Quantities","Producten en aantallen bijwerken"
"Are you sure you want to clear your cart?","Weet u zeker dat u uw winkelwagen wilt wissen?"
"Clear my shopping cart","Winkelwagen leegmaken"
"Add selections to my cart","Selectie toevoegen aan winkelwagen"
Cancel,Annuleer
"Shopping Cart for %1 in %2","Winkelwagen voor %1 in %2"
"Select products you want to buy","Selecteer het product dat u wilt kopen"
Price,Prijs
Quantity,Aantal
"Products in the Comparison List (%1)","Producten in de Vergelijkingslijst (%1)"
"Last ordered items (%1)","Laatst bestelde producten (%1)"
Products,Producten
SKU,Art.nr.
"Recently Compared Products (%1)","Recent vergeleken producten (%1)"
"Recently Viewed Products (%1)","Recent bekeken producten (%1)"
"Add to Shopping Cart by SKU","Toevoegen aan winkelwagen via art.nr."
"Add to Shopping Cart","Voeg toe aan winkelwagen"
